sepal_length,sepal_width,petal_length,petal_width,label
-0.8611738,1.1531006,-1.3405792,-1.3232379,0
-1.4483378,0.21498485,-1.2835332,-1.3232379,0
-1.3309051,0.4495138,-1.3976251,-1.3232379,0
0.7828853,0.4495138,0.77011997,1.0887401,2
0.4305869,-0.25407302,0.31375256,0.15074863,1
-0.15657707,-1.1921887,0.713074,1.0887401,2
-0.15657707,-0.019544078,0.25670666,0.016749848,1
0.4305869,-1.8957756,0.4278444,0.41874617,1
2.4269445,1.8566874,1.511717,1.0887401,2
0.5480197,-1.1921887,0.6560281,0.41874617,1
0.5480197,-1.1921887,0.713074,0.9547413,2
1.6049149,0.4495138,1.2835332,0.8207425,2
-0.8611738,0.91857165,-1.2835332,-1.3232379,0
1.0177509,0.6840427,1.1123955,1.2227389,2
-0.74374104,1.1531006,-1.2835332,-1.3232379,0
0.31315413,-0.48860195,0.5419363,0.016749848,1
