sepal_length,sepal_width,petal_length,petal_width,label
-0.62630826,1.6221584,-1.2835332,-1.3232379,0
-0.15657707,-0.25407302,0.25670666,0.15074863,1
1.2526165,0.21498485,0.9412577,1.2227389,2
0.4305869,-0.48860195,0.5989822,0.8207425,2
-0.5088754,2.0912163,-1.1694415,-1.0552404,0
-0.039144266,-0.7231309,0.19966073,-0.2512477,1
-0.39144266,-1.6612467,0.14261481,0.15074863,1
-0.97860664,1.1531006,-1.3976251,-1.1892391,0
-0.039144266,-0.9576598,0.14261481,0.016749848,1
1.4874821,-0.019544078,1.2264873,1.2227389,2
0.5480197,-1.1921887,0.713074,0.9547413,2
1.0177509,0.21498485,0.3707985,0.2847474,1
-0.39144266,1.1531006,-1.3976251,-1.3232379,0
-1.3309051,0.4495138,-1.3976251,-1.3232379,0
2.1920788,1.8566874,1.6828548,1.3567376,2
-1.0960394,0.21498485,-1.2835332,-1.3232379,0
