epoch,train_loss,val_loss,train_acc,val_acc
1,0.486106,0.273825,0.8257,0.8989
1,0.486106,0.273825,0.8257,0.8989
2,0.313362,0.238663,0.8856,0.9101
2,0.313362,0.238663,0.8856,0.9101
3,0.269895,0.235318,0.9011,0.9145
3,0.269895,0.235318,0.9011,0.9145
4,0.241947,0.232107,0.9122,0.9157
4,0.241947,0.232107,0.9122,0.9157
5,0.225899,0.214874,0.9171,0.9188
5,0.225899,0.214874,0.9171,0.9188
6,0.208735,0.194402,0.9227,0.9289
6,0.208735,0.194402,0.9227,0.9289
7,0.194436,0.196553,0.9290,0.9282
7,0.194436,0.196553,0.9290,0.9282
8,0.180027,0.184970,0.9344,0.9327
8,0.180027,0.184970,0.9344,0.9327
9,0.169267,0.183962,0.9370,0.9362
9,0.169267,0.183962,0.9370,0.9362
10,0.157426,0.202114,0.9408,0.9326
10,0.157426,0.202114,0.9408,0.9326
