sepal_length,sepal_width,petal_length,petal_width,label
1.6049149,-0.019544078,1.1694415,0.5527449,2
-0.97860664,1.1531006,-1.2264873,-0.7872428,0
-0.39144266,1.1531006,-1.3976251,-1.3232379,0
-0.039144266,-0.48860195,0.77011997,1.6247351,2
-0.62630826,1.6221584,-1.2835332,-1.3232379,0
1.0177509,-0.019544078,0.8271659,1.4907364,2
-0.27400985,-0.019544078,0.4278444,0.41874617,1
-0.039144266,-0.7231309,0.08556888,0.016749848,1
-0.5088754,2.0912163,-1.3976251,-1.0552404,0
-1.2134722,0.91857165,-1.2264873,-1.3232379,0
-0.15657707,-0.48860195,0.4278444,0.15074863,1
-0.039144266,-0.9576598,0.14261481,0.016749848,1
-0.8611738,0.6840427,-1.1694415,-0.9212416,0
1.6049149,1.3876295,1.3405792,1.758734,2
-0.39144266,-1.1921887,0.14261481,0.15074863,1
0.66545254,-0.25407302,0.31375256,0.15074863,1
